id,id_orar,ora_inceput,ora_final,profesor,materie,sala,saptamana,grupa
756,53,12:00,14:00,"Paduraru C",IngineriaProg,"Amf. Titeica (Et. 3)","Impar / Par",none
757,53,14:00,16:00,"Paduraru C",IngineriaProg,"Amf. Titeica (Et. 3)","Impar / Par",none
758,53,18:00,20:00,"Alexandru C",IngineriaProg,"Sala L-321","Impar / Par",none
759,54,8:00,10:00,"Suter F",TehSimulare,"Sala L-309","Impar / Par",none
760,54,10:00,12:00,"Suter F",TehSimulare,"Amf. Titeica (Et. 3)","Impar / Par",none
761,54,12:00,14:00,"Patrascu A",TehOptimizare,"Sala L-322",Impar,none
762,54,14:00,16:00,"Ghimis B ",TehCompilare,"Sala L.310",Impar,Grupa:1
763,54,16:00,18:00,"Ghimis B ",TehCompilare,"Sala L.310",Impar,Grupa:2
764,54,12:00,14:00,"Ghimis B",TehCompilare,"Sala 10",Par,none
765,54,12:00,14:00,"Patrascu A",TehOptimizare,"Amf. Hater (Et. 0)","Impar / Par",none
766,54,16:00,18:00,"Dobos I ",Cript&Securitate,"Sala L.302A",Impar,Grupa:1
767,54,18:00,20:00,"Alexandru C",IngineriaProg,"Sala L-321","Impar / Par",none
768,54,14:00,16:00,"Dobos I ",Cript&Securitate,"Sala L.302A",Impar,Grupa:2
769,54,14:00,16:00,"Georgescu Gi",TehCompilare,"Amf. Titeica (Et. 3)","Impar / Par",none
770,54,16:00,18:00,"Olimid R",Cript&Securitate,"Amf. Titeica (Et. 3)","Impar / Par",none
771,54,12:00,14:00,"Dobos I",Cript&Securitate,"Sala 12",Par,none
772,54,12:00,14:00,"Paduraru C",IngineriaProg,"Amf. Titeica (Et. 3)","Impar / Par",none
773,54,14:00,16:00,"Paduraru C",IngineriaProg,"Amf. Titeica (Et. 3)","Impar / Par",none
774,55,12:00,14:00,"Cojocaru C",ManagOperat,"Amf. Stoilow (Et. 1)","Impar / Par",none
775,55,16:00,18:00,"Minciuna I ",ManagOperat,"Sala 5",Impar,Grupa:1
776,55,18:00,20:00,"Minciuna I ",ManagOperat,"Sala 5",Impar,Grupa:2
777,55,10:00,12:00,"Mazilescu R",Marketing,"Amf. Titeica (Et. 3)","Impar / Par",none
778,55,12:00,14:00,"Mazilescu R ",Marketing,"Sala 3",Impar,Grupa:1
779,55,12:00,14:00,"Mazilescu R ",Marketing,"Sala 3",Par,Grupa:2
780,56,14:00,16:00,"Marin Li",ElemCalcStiin,"Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
781,56,16:00,18:00,"Vuletescu V","Geometrie II","Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
782,56,15:00,18:00,"Deaconu S",Algebra,"Sala Il","Impar / Par",none
783,56,18:00,20:00,"Dragomir A",LogicaMatem,"Sala 216",Par,none
784,56,9:00,12:00,"Munteanu R","AnalizaMate II","Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
785,56,12:00,14:00,"Bucataru M",ElemCalcStiin,"Sala L-309","Impar / Par",none
786,56,11:00,14:00,"Ghisoiu V",Geometrie,"Sala II","Impar / Par",none
787,56,14:00,16:00,"Leustean L",LogicaMatem,"Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
788,56,14:00,16:00,"Dascalescu S","Algebra Il","Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
789,56,16:00,19:00,"Sfetcu R","AnalizaMate II","Sala 10","Impar / Par",none
790,57,10:00,12:00,"Boriga R",Cript&Securitate,"Amf. Pompeiu (Et. 2)","Impar / Par",none
791,57,14:00,16:00,"lonescu R",ProgPeDispMob,"Amf. Stoilow (Et. 1)","Impar / Par",none
792,57,12:00,14:00,industrie,ProgPeDispMob,"Sala L.305","Impar / Par",Grupa:1
793,57,16:00,18:00,"Maimut D",Cript&Securitate,"Sala L-303","Impar / Par",none
794,57,18:00,20:00,industrie,ProgPeDispMob,"Sala L.305","Impar / Par",Grupa:2
795,58,10:00,12:00,"Mincu R",GraficaPeCalc,"Sala L-308","Impar / Par",none
796,58,12:00,14:00,"Diaconu Al",GraficaPeCalc,"Sala 8",Impar,none
797,58,8:00,10:00,"351 - none",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
798,58,10:00,12:00,"351 - none",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
799,58,12:00,14:00,"lon L",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
800,58,14:00,16:00,"Radu A",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
801,58,8:00,10:00,"Ivana IA",MetDezvSoft,"Sala L-321","Impar / Par",none
802,58,10:00,12:00,"Stupariu S",GraficaPeCalc,"Amf. Stoilow (Et. 1)","Impar / Par",none
803,58,8:00,10:00,"Ivana IA",MetDezvSoft,"Sala L-321","Impar / Par",none
804,58,17:00,20:00,"Kevorchian C",MetDezvSoft,"Amf. Hater (Et. 0)","Impar / Par",none
805,59,8:00,10:00,"Mincu R",GraficaPeCalc,"Sala L-308","Impar / Par",none
806,59,10:00,12:00,"Diaconu Al",GraficaPeCalc,"Sala 3",Par,none
807,59,8:00,10:00,"352 - none",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
808,59,10:00,12:00,"352 - none",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
809,59,12:00,14:00,"lon L",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
810,59,14:00,16:00,"Radu A",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
811,59,18:00,20:00,"Cernat M",MetDezvSoft,"Sala L-321","Impar / Par",none
812,59,10:00,12:00,"Stupariu S",GraficaPeCalc,"Amf. Stoilow (Et. 1)","Impar / Par",none
813,59,18:00,20:00,"Kevorchian C",MetDezvSoft,"Sala L-321","Impar / Par",none
814,59,17:00,20:00,"Kevorchian C",MetDezvSoft,"Amf. Hater (Et. 0)","Impar / Par",none
815,60,10:00,12:00,"Diaconu Al",GraficaPeCalc,"Sala 3",Impar,none
816,60,12:00,14:00,"Mincu R",GraficaPeCalc,"Sala L-308","Impar / Par",none
817,60,14:00,16:00,"Diaconu Al",MetDezvSoft,"Sala L-321","Impar / Par",none
818,60,12:00,14:00,"lon L",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
819,60,14:00,16:00,"Radu A",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
820,60,16:00,18:00,"353 - none",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
821,60,18:00,20:00,"353 - none",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
822,60,14:00,16:00,"Diaconu Al",MetDezvSoft,"Sala L-321","Impar / Par",none
823,60,10:00,12:00,"Stupariu S",GraficaPeCalc,"Amf. Stoilow (Et. 1)","Impar / Par",none
824,60,17:00,20:00,"Kevorchian C",MetDezvSoft,"Amf. Hater (Et. 0)","Impar / Par",none
825,61,16:00,18:00,"Diaconu Al",MetDezvSoft,"Sala L-321","Impar / Par",none
826,61,12:00,14:00,"Diaconu Al",GraficaPeCalc,"Sala 8",Par,none
827,61,12:00,14:00,"lon L",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
828,61,14:00,16:00,"Radu A",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
829,61,16:00,18:00,"354 - none",SistCuMicroproc,Fac.Fizica-Magurele,"Impar / Par",none
830,61,18:00,20:00,"354 - none",ArhitSistPar,Fac.Fizica-Magurele,"Impar / Par",none
831,61,8:00,10:00,"Mincu R",GraficaPeCalc,"Sala L-308","Impar / Par",none
832,61,10:00,12:00,"Stupariu S",GraficaPeCalc,"Amf. Stoilow (Et. 1)","Impar / Par",none
833,61,12:00,14:00,"Diaconu Al",MetDezvSoft,"Sala L-321","Impar / Par",none
834,61,17:00,20:00,"Kevorchian C",MetDezvSoft,"Amf. Hater (Et. 0)","Impar / Par",none
835,62,12:00,14:00,"Cojocaru C",ManagOperat,"Amf. Stoilow (Et. 1)","Impar / Par",none
836,62,18:00,20:00,"Minciuna I",ManagOperat,"Sala 5",Par,none
837,62,10:00,12:00,"Mazilescu R",Marketing,"Amf. Titeica (Et. 3)","Impar / Par",none
838,62,14:00,16:00,"Mazilescu R ",Marketing,"Sala 3",Impar,Grupa:1
839,62,14:00,16:00,"Mazilescu R ",Marketing,"Sala 3",Par,Grupa:2
840,63,8:00,10:00,industrie,ProgPeDispMob,"Sala L.305","Impar / Par",Grupa:1
841,63,10:00,12:00,"Boriga R",Cript&Securitate,"Amf. Pompeiu (Et. 2)","Impar / Par",none
842,63,14:00,16:00,"lonescu R",ProgPeDispMob,"Amf. Stoilow (Et. 1)","Impar / Par",none
843,63,16:00,18:00,"Maimut D",Cript&Securitate,"Sala L-309","Impar / Par",Grupa:1
844,63,18:00,20:00,"Maimut D",Cript&Securitate,"Sala L-322","Impar / Par",Grupa:2
845,63,8:00,10:00,industrie,ProgPeDispMob,"Sala L.305","Impar / Par",Grupa:2
846,64,8:00,10:00,"Dinu L",Comp&Translat,"Amf. Stoilow (Et. 1)","Impar / Par",none
847,64,10:00,12:00,"Predut SN",TestSistSoft,"Sala L-309","Impar / Par",none
848,64,12:00,14:00,"Dragulici D",Comp&Translat,"Sala 3",Par,none
849,64,12:00,14:00,"Dragulici D",SistOpLinux,"Sala 220","Impar / Par",none
850,64,12:00,15:00,"Predut SN",TestSistSoft,"Sala 202","Impar / Par",none
851,64,16:00,18:00,"Dragulici D",Comp&Translat,"Sala L-308","Impar / Par",none
852,64,12:00,14:00,"Dragulici D",SistOpLinux,"Sala L-322","Impar / Par",none
853,65,8:00,10:00,"Dinu L",Comp&Translat,"Amf. Stoilow (Et. 1)","Impar / Par",none
